content,score,at,bank,source
Best,5,2025-06-08 11:25:37,CBE,Google Play
20 years,5,2025-06-08 05:04:48,CBE,Google Play
A great app. It's like carrying a bank in your pocket.,4,2025-06-07 13:21:52,CBE,Google Play
More than garrantty bank EBC.,4,2025-06-07 11:21:26,CBE,Google Play
really am happy to this app it is Siple to use everything,5,2025-06-07 04:02:38,CBE,Google Play
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07 03:50:29,CBE,Google Play
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06 02:54:11,CBE,Google Play
what is this app problem???,1,2025-06-05 15:16:56,CBE,Google Play
the app is proactive and a good connections.,5,2025-06-05 08:55:10,CBE,Google Play
I cannot send to cbebirr app. through this app.,3,2025-06-05 04:12:49,CBE,Google Play
good,4,2025-06-05 03:21:59,CBE,Google Play
not functional,1,2025-06-05 00:38:12,CBE,Google Play
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04 14:33:36,CBE,Google Play
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04 13:54:30,CBE,Google Play
best,5,2025-06-04 12:59:04,CBE,Google Play
bezabih,5,2025-06-04 11:22:41,CBE,Google Play
Best Mobile Banking app ever,5,2025-06-04 09:50:52,CBE,Google Play
good,5,2025-06-04 09:00:15,CBE,Google Play
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04 08:56:02,CBE,Google Play
good,5,2025-06-04 07:59:40,CBE,Google Play
Good,5,2025-06-04 07:52:50,CBE,Google Play
👌👍,5,2025-06-04 05:43:21,CBE,Google Play
very niec,5,2025-06-04 04:21:53,CBE,Google Play
best app of finance,5,2025-06-04 00:38:54,CBE,Google Play
yetemeta,1,2025-06-03 14:04:44,CBE,Google Play
Engida Kebede Fetera,5,2025-06-03 13:20:23,CBE,Google Play
good,5,2025-06-03 04:32:52,CBE,Google Play
it is not safety,1,2025-06-03 02:14:31,CBE,Google Play
NICE bank,5,2025-06-03 01:42:36,CBE,Google Play
it is like a childish app make it better the worst I have ever seen,1,2025-06-02 05:23:42,CBE,Google Play
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02 03:40:18,CBE,Google Play
It's good but try to make it facilitate for your client,4,2025-06-02 02:11:40,CBE,Google Play
best app,5,2025-06-01 14:16:28,CBE,Google Play
Awesome bank,5,2025-06-01 13:31:42,CBE,Google Play
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31 14:21:18,CBE,Google Play
Masha alla,5,2025-05-31 07:37:05,CBE,Google Play
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31 04:30:33,CBE,Google Play
better service,5,2025-05-31 00:28:05,CBE,Google Play
"it,s good app and time manager 👍",5,2025-05-30 12:13:36,CBE,Google Play
malkaamuu Jiidhaa Namoo,5,2025-05-30 08:08:04,CBE,Google Play
lower system everything,3,2025-05-30 06:45:05,CBE,Google Play
Nice!,5,2025-05-30 04:55:13,CBE,Google Play
Keep it up My CBE,5,2025-05-29 02:38:37,CBE,Google Play
yes good,5,2025-05-28 08:56:18,CBE,Google Play
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27 16:47:06,CBE,Google Play
i like everything of this app,5,2025-05-27 14:34:01,CBE,Google Play
good,5,2025-05-27 10:48:15,CBE,Google Play
🤬🤬🤬🤬 network 🛜,1,2025-05-26 10:59:50,CBE,Google Play
Best,5,2025-05-26 08:22:54,CBE,Google Play
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26 06:43:02,CBE,Google Play
nice,5,2025-05-26 06:26:26,CBE,Google Play
good job,5,2025-05-26 05:31:42,CBE,Google Play
Good,5,2025-05-25 12:44:05,CBE,Google Play
it's awesome!!,5,2025-05-25 11:13:12,CBE,Google Play
best,5,2025-05-25 10:34:23,CBE,Google Play
thankyou every one,5,2025-05-25 07:10:07,CBE,Google Play
best app,5,2025-05-25 06:35:41,CBE,Google Play
Ronaldo 🇵🇹 🥇,5,2025-05-25 05:56:24,CBE,Google Play
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25 04:51:45,CBE,Google Play
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25 03:54:25,CBE,Google Play
mortuary app,5,2025-05-25 02:23:34,CBE,Google Play
